No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
722,08/05/2023,Mon,4578.19,5063.03,4000.0,2506.51,1,Coronation of Charles III,12.2,12.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
723,09/05/2023,Tue,1704.03,2260.76,2190.54,-208.83,0,,12.9,12.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
724,10/05/2023,Wed,1864.58,2357.31,2617.28,-762.99,0,,12.0,11.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
725,11/05/2023,Thu,1571.83,2102.59,2878.1,-103.09,0,,12.1,11.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
726,12/05/2023,Fri,2216.28,2868.37,4254.68,-1058.29,0,,11.9,11.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
727,13/05/2023,Sat,4069.12,4750.64,5800.0,407.13,0,,11.5,10.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
728,14/05/2023,Sun,2727.51,3006.92,3200.0,134.23,0,,11.8,11.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
729,15/05/2023,Mon,1530.44,1921.11,2000.0,113.21,0,,11.8,11.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
730,16/05/2023,Tue,1333.25,1806.73,2000.0,211.91,0,,10.9,10.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
731,17/05/2023,Wed,1675.04,2398.86,2300.0,14.81,0,,12.1,12.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
732,18/05/2023,Thu,1798.2,2221.68,2500.0,-351.93,0,,13.9,13.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
733,19/05/2023,Fri,2856.86,3470.92,3800.0,-795.69,0,,13.4,13.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
734,20/05/2023,Sat,4049.95,4569.53,5600.0,-759.24,0,,12.9,12.4,Clear,Clear conditions throughout the day.,clear-day
735,21/05/2023,Sun,1730.62,1870.13,3000.0,-320.48,0,,13.3,12.9,Clear,Clear conditions throughout the day.,clear-day
736,22/05/2023,Mon,1686.04,2103.61,2400.0,-477.13,0,,14.4,14.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
737,23/05/2023,Tue,1435.14,1821.02,2000.0,100.96,0,,13.4,13.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
738,24/05/2023,Wed,1247.13,1762.61,2300.0,-967.88,0,,14.5,14.4,Clear,Clear conditions throughout the day.,clear-day
739,25/05/2023,Thu,1849.47,2721.44,2300.0,-708.36,0,,14.5,14.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
740,26/05/2023,Fri,2345.16,3171.9,3800.0,-1135.78,0,,14.4,14.2,Clear,Clear conditions throughout the day.,clear-day
741,27/05/2023,Sat,2899.93,3613.55,4800.0,-1507.78,0,,13.8,13.2,Clear,Clear conditions throughout the day.,clear-day
742,28/05/2023,Sun,1477.64,1754.37,2400.0,-1309.5,0,,15.8,15.7,Clear,Clear conditions throughout the day.,clear-day
743,29/05/2023,Mon,3812.25,4140.98,4000.0,-401.03,1,Spring Bank Holiday,12.9,12.3,Clear,Clear conditions throughout the day.,clear-day
744,30/05/2023,Tue,2135.58,2549.2,3400.0,-1288.93,0,,12.5,11.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
745,31/05/2023,Wed,3696.18,4327.2,3300.0,-16.12,0,,13.0,13.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
746,01/06/2023,Thu,2898.58,3135.27,3300.0,-559.13,0,,13.0,12.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
747,02/06/2023,Fri,2787.78,3347.36,3600.0,886.68,0,,13.0,12.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
748,03/06/2023,Sat,3227.66,3880.45,4500.0,-768.66,0,,14.0,13.2,Clear,Clear conditions throughout the day.,clear-day
749,04/06/2023,Sun,1620.71,1806.0,2800.0,-1069.13,0,,15.5,15.1,Clear,Clear conditions throughout the day.,clear-day
750,05/06/2023,Mon,1422.93,1643.03,2200.0,-518.77,0,,12.8,12.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
751,06/06/2023,Tue,1965.39,2519.62,2000.0,574.13,0,,12.2,11.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
752,07/06/2023,Wed,1559.92,2106.8,2300.0,-386.47,0,,14.5,14.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
753,08/06/2023,Thu,1600.07,1983.89,2300.0,-280.88,0,,15.6,15.0,Clear,Clear conditions throughout the day.,clear-day
754,09/06/2023,Fri,1864.47,2684.26,3600.0,-749.48,0,,17.7,17.7,Clear,Clear conditions throughout the day.,clear-day
755,10/06/2023,Sat,4078.16,4679.95,4500.0,-238.03,0,,18.7,18.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
756,11/06/2023,Sun,2986.91,3146.9,2500.0,1085.01,0,,18.7,18.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
757,12/06/2023,Mon,1724.25,2182.14,2000.0,529.48,0,,19.6,19.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
758,13/06/2023,Tue,1382.44,1798.48,2000.0,-251.14,0,,21.2,21.1,Clear,Clear conditions throughout the day.,clear-day
759,14/06/2023,Wed,1520.87,2164.56,2300.0,-33.04,0,,19.8,19.8,Clear,Clear conditions throughout the day.,clear-day
760,15/06/2023,Thu,1622.28,2544.14,2400.0,993.27,0,,20.8,20.8,Clear,Clear conditions throughout the day.,clear-day
761,16/06/2023,Fri,2298.37,3061.03,3300.0,420.93,0,,20.2,20.2,Clear,Clear conditions throughout the day.,clear-day
762,17/06/2023,Sat,4113.12,4744.82,4600.0,-1519.86,0,,19.2,19.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
763,18/06/2023,Sun,2812.32,2976.81,3000.0,-35.47,0,,18.2,18.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
764,19/06/2023,Mon,1374.12,1658.98,1923.0,-15.39,0,,17.9,17.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
765,20/06/2023,Tue,1684.24,2113.05,2194.0,123.76,0,,17.1,17.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
766,21/06/2023,Wed,1983.58,2449.38,2243.0,-342.44,0,,17.6,17.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
767,22/06/2023,Thu,2089.18,2552.13,2427.0,-274.93,0,,18.7,18.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
768,23/06/2023,Fri,2674.53,3337.0,3275.0,-186.4,0,,18.3,18.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
769,24/06/2023,Sat,4130.16,4934.98,4500.0,120.59,0,,20.9,20.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
770,25/06/2023,Sun,2442.25,2873.17,2800.0,-599.69,0,,19.8,19.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
771,26/06/2023,Mon,2145.9,2435.21,2117.0,-30.62,0,,16.8,16.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
772,27/06/2023,Tue,1967.47,2525.15,2250.0,477.15,0,,17.0,17.0,Overcast,Cloudy skies throughout the day.,cloudy
773,28/06/2023,Wed,2071.86,2603.75,2300.0,-11.44,0,,18.8,18.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
774,29/06/2023,Thu,1850.9,2636.07,2500.0,-290.05,0,,16.7,16.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
775,30/06/2023,Fri,3141.38,4308.55,3400.0,841.46,0,,14.9,14.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
776,01/07/2023,Sat,5836.24,6568.53,4900.0,227.98,0,,17.1,17.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
777,02/07/2023,Sun,2528.56,2728.67,3200.0,-145.86,0,,15.1,15.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
778,03/07/2023,Mon,2104.15,2476.38,2650.0,743.57,0,,14.6,14.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
779,04/07/2023,Tue,2656.47,2928.19,2650.0,1097.71,0,,12.9,12.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
780,05/07/2023,Wed,3660.99,4247.43,2850.0,2505.84,0,,14.4,14.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
781,06/07/2023,Thu,3374.33,4205.22,2850.0,1649.37,0,,15.8,15.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
782,07/07/2023,Fri,2924.23,3645.47,3600.0,616.12,0,,19.6,19.6,Clear,Clear conditions throughout the day.,clear-day
783,08/07/2023,Sat,4867.68,5436.78,5200.0,1606.03,0,,19.1,19.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
784,09/07/2023,Sun,2639.66,2753.86,3300.0,912.76,0,,17.1,17.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
785,10/07/2023,Mon,2100.02,2525.29,2800.0,858.05,0,,16.3,16.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
786,11/07/2023,Tue,2644.74,3121.61,3000.0,1139.55,0,,16.7,16.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
787,12/07/2023,Wed,3011.56,3235.33,3800.0,1293.85,0,,15.7,15.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
788,13/07/2023,Thu,2680.66,3269.65,3800.0,253.79,0,,15.7,15.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
789,14/07/2023,Fri,4737.03,5402.21,3800.0,2434.49,0,,15.3,15.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
790,15/07/2023,Sat,4882.01,5615.62,5300.0,1850.76,0,,15.9,15.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
791,16/07/2023,Sun,2251.04,2409.17,2800.0,134.1,0,,14.5,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
792,17/07/2023,Mon,1808.27,2128.17,2600.0,-189.1,0,,15.0,15.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
793,18/07/2023,Tue,2663.17,3077.21,2600.0,1201.03,0,,15.8,15.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
794,19/07/2023,Wed,2519.72,2878.3,3500.0,574.45,0,,17.4,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
795,20/07/2023,Thu,2398.53,2969.29,3500.0,-273.64,0,,15.2,15.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
796,21/07/2023,Fri,3458.62,4094.81,3800.0,389.19,0,,14.4,14.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
797,22/07/2023,Sat,7448.52,8432.26,5500.0,3665.04,0,,14.7,14.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
798,23/07/2023,Sun,3385.78,3552.78,2904.38,853.69,0,,17.0,17.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
799,24/07/2023,Mon,3357.17,3937.48,2800.0,1837.6,0,,14.8,14.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
800,25/07/2023,Tue,2401.97,2679.8,2809.0,27.25,0,,14.8,14.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
